CIDR,ASN
2c0f:2a80:800::/38,14593
2c0f:2a80::/38,14593
103.228.240.0/22,45700
116.254.96.0/23,45700
116.254.98.0/23,45700
119.11.204.0/23,45700
119.11.204.0/24,45700
119.11.205.0/24,45700
202.125.100.0/24,45700
202.125.101.0/24,45700
202.65.224.0/21,45700
202.65.232.0/21,45700
27.131.248.0/23,45700
27.131.250.0/24,45700
27.131.251.0/24,45700
